Node,Parent
root,
1_SHIP_GENERAL,root
10_SPECIFICATION_ESTIMATING_DRAWING_INSTRUCTION_COURSES,1_SHIP_GENERAL
101_CONTRACT_SPECIFIC_WORK_GENERAL_DESIGN_MODEL_TESTING,10_SPECIFICATION_ESTIMATING_DRAWING_INSTRUCTION_COURSES
101001_Towing_tank_tests,101_CONTRACT_SPECIFIC_WORK_GENERAL_DESIGN_MODEL_TESTING
101005_Funnel_tests,101_CONTRACT_SPECIFIC_WORK_GENERAL_DESIGN_MODEL_TESTING
101010_Propeller_cavitation_tests,101_CONTRACT_SPECIFIC_WORK_GENERAL_DESIGN_MODEL_TESTING
101011_Noise_measurements_analyses,101_CONTRACT_SPECIFIC_WORK_GENERAL_DESIGN_MODEL_TESTING
101012_Vibration_measurements_analyses,101_CONTRACT_SPECIFIC_WORK_GENERAL_DESIGN_MODEL_TESTING
101015_Travel_per_diem_expenses,101_CONTRACT_SPECIFIC_WORK_GENERAL_DESIGN_MODEL_TESTING
101020_General_EDP_expenses,101_CONTRACT_SPECIFIC_WORK_GENERAL_DESIGN_MODEL_TESTING
102_DRAWING_ORDERING_ETC_WITH_REGARD_TO_HULL,10_SPECIFICATION_ESTIMATING_DRAWING_INSTRUCTION_COURSES
102001_Hull_half_models,102_DRAWING_ORDERING_ETC_WITH_REGARD_TO_HULL
102003_Film_development_copying,102_DRAWING_ORDERING_ETC_WITH_REGARD_TO_HULL
102005_Hull_EDP_expenses,102_DRAWING_ORDERING_ETC_WITH_REGARD_TO_HULL
102010_Optical_drawings,102_DRAWING_ORDERING_ETC_WITH_REGARD_TO_HULL
102020_CAD_drawings,102_DRAWING_ORDERING_ETC_WITH_REGARD_TO_HULL
103_DRAWING_ORDERING_ETC_WRT_EQUIPMENT_FOR_CARGO,10_SPECIFICATION_ESTIMATING_DRAWING_INSTRUCTION_COURSES
104_DRAWING_ORDERING_ETC_WRT_SHIP_EQUIPMENT,10_SPECIFICATION_ESTIMATING_DRAWING_INSTRUCTION_COURSES
105_DRAWING_ORDERING_WRT_EQUIPMENT_FOR_CREW_and_PASSENGERS,10_SPECIFICATION_ESTIMATING_DRAWING_INSTRUCTION_COURSES
106_DRAWING_ORDERING_WRT_MACH_COMPONENTS_MACH_SHIP_SYSTEMS,10_SPECIFICATION_ESTIMATING_DRAWING_INSTRUCTION_COURSES
106001_Film_development_copying,106_DRAWING_ORDERING_WRT_MACH_COMPONENTS_MACH_SHIP_SYSTEMS
106020_CAD_drawings,106_DRAWING_ORDERING_WRT_MACH_COMPONENTS_MACH_SHIP_SYSTEMS
107_ESTIMATING_DRAWING_and_OFFERS_WRT_CHANGE_ORDERS,10_SPECIFICATION_ESTIMATING_DRAWING_INSTRUCTION_COURSES
108_PURCHASE_RENTING_OF_DRAWINGS_PATENTS_LICENCES_and_CONSULTATI,10_SPECIFICATION_ESTIMATING_DRAWING_INSTRUCTION_COURSES
108001_Drawing_purchases,108_PURCHASE_RENTING_OF_DRAWINGS_PATENTS_LICENCES_and_CONSULTATI
108010_Drawing_rentals,108_PURCHASE_RENTING_OF_DRAWINGS_PATENTS_LICENCES_and_CONSULTATI
108020_General_licence_patent_fees,108_PURCHASE_RENTING_OF_DRAWINGS_PATENTS_LICENCES_and_CONSULTATI
108025_General_consultants_fees,108_PURCHASE_RENTING_OF_DRAWINGS_PATENTS_LICENCES_and_CONSULTATI
108026_Class_newbuilding_survey,108_PURCHASE_RENTING_OF_DRAWINGS_PATENTS_LICENCES_and_CONSULTATI
109_MAINTENANCE_SYSTEMS_INSTRUCTION_MATERIAL,10_SPECIFICATION_ESTIMATING_DRAWING_INSTRUCTION_COURSES
109001_Instruction_material,109_MAINTENANCE_SYSTEMS_INSTRUCTION_MATERIAL
109005_Maintenance_spare_parts_systems,109_MAINTENANCE_SYSTEMS_INSTRUCTION_MATERIAL
109007_Contingency_plans,109_MAINTENANCE_SYSTEMS_INSTRUCTION_MATERIAL
109009_Alarm_instructions,109_MAINTENANCE_SYSTEMS_INSTRUCTION_MATERIAL
109010_Travel_per_diem_expenses,109_MAINTENANCE_SYSTEMS_INSTRUCTION_MATERIAL
109020_Course_instructors_salaries,109_MAINTENANCE_SYSTEMS_INSTRUCTION_MATERIAL
11_INSURANCE_FEES_CERTIFICATES_REPRESENTATION,1_SHIP_GENERAL
111_GENERAL_INSURANCE,11_INSURANCE_FEES_CERTIFICATES_REPRESENTATION
111001_Construction_risk_insurance,111_GENERAL_INSURANCE
111005_Trial_trip_insurance,111_GENERAL_INSURANCE
111010_Delay_insurance,111_GENERAL_INSURANCE
111015_Guarantee_insurance,111_GENERAL_INSURANCE
111020_Currency_insurance,111_GENERAL_INSURANCE
111025_Discount_rate_insurance,111_GENERAL_INSURANCE
112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES,11_INSURANCE_FEES_CERTIFICATES_REPRESENTATION
112001_Classification_societies_fees,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112003_Letter_of_official_registration,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112005_Ship_control,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112008_Ship_registration,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112009_Safety_equipment,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112010_International_tonnage_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112012_International_loadline_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112015_Panama_Canal_tonnage_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112020_Suez_Canal_tonnage_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112022_RINA_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112024_FMC_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112025_Construction_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112030_USCG_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112034_TOVALOP_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112035_IMO_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112050_Passenger_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112052_Car_freight_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112054_Container_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112056_Chemical_tanker_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112058_Gas_tanker_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112060_Product_tanker_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112062_Oil_tanker_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
112064_Oil_production_storage_certificates,112_CLASSIFICATION_and_STATUTORY_FEES_and_CERTIFICATES
113_BUILDING_ADVANCE_INTEREST_DISCOUNT_FINANCE_COSTS,11_INSURANCE_FEES_CERTIFICATES_REPRESENTATION
113001_Interest_expenses,113_BUILDING_ADVANCE_INTEREST_DISCOUNT_FINANCE_COSTS
113005_Discount_rate_losses,113_BUILDING_ADVANCE_INTEREST_DISCOUNT_FINANCE_COSTS
113010_Exchange_rate_losses,113_BUILDING_ADVANCE_INTEREST_DISCOUNT_FINANCE_COSTS
113015_Financial_costs,113_BUILDING_ADVANCE_INTEREST_DISCOUNT_FINANCE_COSTS
114_CANCELLATION_EXPENSES,11_INSURANCE_FEES_CERTIFICATES_REPRESENTATION
114001_Cancellation_expenses,114_CANCELLATION_EXPENSES
115_PENALTIES,11_INSURANCE_FEES_CERTIFICATES_REPRESENTATION
115001_Contract_penalties,115_PENALTIES
116_BROKERS_COMMISSIONS,11_INSURANCE_FEES_CERTIFICATES_REPRESENTATION
116001_Brokers_commissions,116_BROKERS_COMMISSIONS
117_REPRESENTATION_TRAVELS_CONFERENCES,11_INSURANCE_FEES_CERTIFICATES_REPRESENTATION
117001_Travel_per_diem_expenses,117_REPRESENTATION_TRAVELS_CONFERENCES
117010_Premises_rental,117_REPRESENTATION_TRAVELS_CONFERENCES
117015_Catering,117_REPRESENTATION_TRAVELS_CONFERENCES
117020_Representation,117_REPRESENTATION_TRAVELS_CONFERENCES
118_LAUNCHING_and_DELIVERY_REPRESENTATION,11_INSURANCE_FEES_CERTIFICATES_REPRESENTATION
118001_Catering,118_LAUNCHING_and_DELIVERY_REPRESENTATION
118005_Travel_per_diem_expenses,118_LAUNCHING_and_DELIVERY_REPRESENTATION
118010_Gifts,118_LAUNCHING_and_DELIVERY_REPRESENTATION
118015_Entertainment,118_LAUNCHING_and_DELIVERY_REPRESENTATION
118017_Film_development_copying,118_LAUNCHING_and_DELIVERY_REPRESENTATION
118020_Representation,118_LAUNCHING_and_DELIVERY_REPRESENTATION
118025_Trial_trip_representation,118_LAUNCHING_and_DELIVERY_REPRESENTATION
118030_Menus_guest_lists_printed_matter,118_LAUNCHING_and_DELIVERY_REPRESENTATION
12_QUALITY_ASSURANCE_GENERAL_WORK_MODELS,1_SHIP_GENERAL
121_QUALITY_ASSURANCE_PLANNING_WORK_PREPARATION,12_QUALITY_ASSURANCE_GENERAL_WORK_MODELS
121001_EDP_expenses,121_QUALITY_ASSURANCE_PLANNING_WORK_PREPARATION
121005_Quality_assurance_manuals,121_QUALITY_ASSURANCE_PLANNING_WORK_PREPARATION
121010_Progress_plans,121_QUALITY_ASSURANCE_PLANNING_WORK_PREPARATION
121015_Work_preparation,121_QUALITY_ASSURANCE_PLANNING_WORK_PREPARATION
121020_Work_hours_progress_control,121_QUALITY_ASSURANCE_PLANNING_WORK_PREPARATION
122_WORK_MANAGEMENT_FIRE_GUARD_SUPERVISION_WATCH_KEEPING,12_QUALITY_ASSURANCE_GENERAL_WORK_MODELS
122001_Hull_work_management,122_WORK_MANAGEMENT_FIRE_GUARD_SUPERVISION_WATCH_KEEPING
122005_Machinery_work_management,122_WORK_MANAGEMENT_FIRE_GUARD_SUPERVISION_WATCH_KEEPING
122010_Pipe_work_management,122_WORK_MANAGEMENT_FIRE_GUARD_SUPERVISION_WATCH_KEEPING
122015_Carpenter_work_management,122_WORK_MANAGEMENT_FIRE_GUARD_SUPERVISION_WATCH_KEEPING
122020_Work_management,122_WORK_MANAGEMENT_FIRE_GUARD_SUPERVISION_WATCH_KEEPING
122025_Fire_guard,122_WORK_MANAGEMENT_FIRE_GUARD_SUPERVISION_WATCH_KEEPING
122030_Watch_keeping,122_WORK_MANAGEMENT_FIRE_GUARD_SUPERVISION_WATCH_KEEPING
123_CLEARING_and_CLEANING,12_QUALITY_ASSURANCE_GENERAL_WORK_MODELS
123001_Cleaning,123_CLEARING_and_CLEANING
123005_Engine_room_cleaning,123_CLEARING_and_CLEANING
123010_Accommodation_cleaning,123_CLEARING_and_CLEANING
124_SNOW_CLEARING_DE-ICING,12_QUALITY_ASSURANCE_GENERAL_WORK_MODELS
125_TRANSPORTATION_EXCL_HULL_PARTS,12_QUALITY_ASSURANCE_GENERAL_WORK_MODELS
